ID	role	entities
57	victim	the planet; climate response
57	villain	climate alarmists; climate-change warriors
59	victim	Democratic Party
59	villain	Cortez; The Green New Deal
60	victim	people health; happiness; health
60	villain	air pollution; pollution
64	villain	Greta Thunberg
69	victim	green/environmental groups; the nation's most populous state
69	villain	hydraulic fracturing
70	hero	Green New Deal
70	victim	public health
70	villain	Cortez; Livestock methane emissions
72	hero	Green new deal
72	victim	public health; farmers
72	villain	Methane; Methane emissions from livestock
73	victim	Ecosystems; environment; human health
74	hero	climatologist Judith Curry; meteorologist Ryan Maue
74	villain	AOC
75	hero	her plan for a Green New Deal
75	victim	Americans; minority communities
75	villain	Incoming New York Rep. Alexandria Ocasio-Cortez
76	hero	some ordinary Americans; climate action
76	victim	Tha planet
76	villain	Carbon emissions; consumption excessive society
77	victim	farmers
77	villain	Perpetual presidential candidate Bernie Sanders
78	hero	Lab-grown meat; The Israeli food technology startup Aleph Farms
78	villain	Livestock production; meat and dairy products
81	hero	Cory Booker; Nuclear Energy
81	victim	Communities of colour in America; poor communities of color
81	villain	Carbon
84	hero	a major climate change lawsuit
84	victim	21 young plaintiffs
84	villain	the federal government
86	hero	Congressional Democrats; the Green New Deal
86	victim	the U.S.
86	villain	Congressional Republicans; carbon emissions
87	hero	the state's first chief science officer; Thomas Frazer
87	victim	Floridians
89	hero	the Democratic presidential contenders
89	victim	The public/voters
90	hero	Democrat Presidential Candidates; Warren
90	villain	fossil fuel emissions
91	hero	renewable energy
91	villain	Activists; fossil fuel industry
92	hero	the EPA
92	victim	the air; Americans
92	villain	Trump
93	victim	Rural voters; The people; farmers
93	villain	Trump
94	hero	the EPA; Climate policy; climate technology; Green technology
94	victim	the Environmental Protection Agency
94	villain	Trump
95	hero	Green New Deal
95	villain	Trump; fossil fuels
96	hero	a Green New Deal
96	victim	Detroiters
96	villain	auto industry; Industrial polluters; industry
97	hero	Clean air regulation; observational data time series and quasi-experiments
97	victim	Air quality; people
97	villain	the EPA; Trump
98	hero	Green New Deal
98	victim	Americans; fossil fuel workers
98	villain	Republicans; Global emissions
99	hero	her state; Former President Barack Obama's plan
99	victim	U.S climate response
99	villain	President Donald Trump's
100	hero	climate activists; Democrat President
102	hero	National Parks Conservation Association
102	victim	Monument; indigenous tribes throughout the U.S. Southwest
102	villain	Bureau of Land Management; The Trump administation
103	hero	Brazilian Military
103	victim	fires that are raging in the Amazon
103	villain	Wildfires
104	hero	the United Nations; UN
104	villain	Trump; the US
109	victim	3 million species of plants and animals and 1 million or so people who call the Amazon home; The Amazon
109	villain	right-wing President Jair Bolsonaro's environmental policies
110	hero	Trump administration; proposal
110	victim	U.S Economy
110	villain	National Economic Council Director Larry Kudlow; Green New Deal
111	hero	left parties; The EU; The UN
111	victim	The Amazon rainforest; The human race
111	villain	Bolsonaro
112	hero	America's public land; Democrat President
112	villain	the Trump administration; fossil fuel extraction
113	hero	Obama-era regulations
113	victim	human health; the EPA; US economy
113	villain	Trump Administration
115	hero	Clean Power Plan
115	victim	federal and Native American land; public health
115	villain	Trump administration; greenhouse gas emissions
119	hero	Democrat President; new standards that had been implemented during the Obama administration
119	victim	world; U.S climate response
119	villain	President Donald Trump
122	hero	other candidates
122	victim	America
122	villain	Carbon pollution
123	hero	The Democratic candidates; Green New Deal
123	villain	the fossil fuel industry
124	hero	tropical forests; scientists
124	victim	Life on Earth
124	villain	Climate change; Deforestation
125	victim	our planet; our future; our people
125	villain	Massey; Republicans
126	hero	Democrat President; Sen. Kamala Harris; Green New Deal
126	victim	communities of colour; minorities
126	villain	climate pollution
128	victim	the United States
128	villain	Trump administration
134	hero	the Green New Deal
134	victim	Farmers
134	villain	Trump; Republican; fossil fuels
135	hero	Oregan Democrats; Senate President Peter Courtney
135	victim	Democrats
135	villain	Oregon Republicans
136	hero	Democrats
136	victim	Democrat-led States
136	villain	EPA Administrator Andrew Wheeler
137	villain	William Perry Pendley; director
138	hero	the Green New Deal Virginia
138	villain	climate change
139	hero	U.S. presidential hopeful Kamala Harris'; U.S. presidential hopeful Kamala Harris' campaign
139	villain	Trump
141	victim	U.S climate response
141	villain	the Trump administration; professor
145	hero	O'Rourke; the Green New Deal
145	villain	Trump; fossil fuel industry
146	hero	Congress
146	victim	1 million species of land and marine species; Endangered species; The U.S; U.S climate response
146	villain	the Trump administration's
147	hero	Baldwin; Ross; Democrat Presidential Candidates
147	victim	Floridians; Miami
147	villain	climate change
148	villain	Ivanka Trump
149	hero	Sanders; Carbon offsets
149	villain	Presidential candidates
150	hero	the Congressionally mandated report
150	victim	Marine Corps Base Camp Lejeune in North Carolina; the defense department
150	villain	Trump administration; Pentagon
151	hero	Environmentalists; Obama-era regulations
151	villain	The Trump administration
154	hero	the federal government; the Green New Deal
154	villain	capitalism
157	hero	Green New Deal
157	victim	Human Health; Humanity; America; US Economy
157	villain	EPA; Trump's recently installed EPA chief
161	hero	The G-7
161	victim	Amazon rainforest
161	villain	President Trump
162	hero	the United States; Senator Bernie Sanders; Green New Deal
162	villain	global warming; planet-warming greenhouse gases
164	hero	wind power industry
164	victim	birds
164	villain	Trump
166	hero	Democrats vying for president
166	victim	the republican party
166	villain	the climate crisis
167	hero	climate advocates; Democrats; Clement; Green New Deal
167	victim	the country's
167	villain	Donald Trump's
168	victim	clean water; Obama-era regulations; Obama-era environmental regulations
168	villain	Andrew Wheeler; President Donald Trump's
169	hero	the Paris Agreement
169	victim	an island nation on the frontline of climate change; the Marshall Islands
169	villain	US President Donald Trump; greenhouse gases
174	hero	Democrats
174	victim	Americans; Environmental regulations
174	villain	President Donald Trump; House Natural Resources Committee
175	villain	Fracking
177	hero	The Brando
177	victim	Tetiaroa
177	villain	Rats; their carbon footprint
178	hero	Carbon offsetting
178	victim	the carbon emissions
178	villain	The duke and his wife Meghan; The Duke of Sussex
179	hero	Collins
179	victim	Americans; public health; children; the Environmental Protection Agency
179	villain	former coal industry lobbyist Andrew Wheeler; The Senate
180	hero	Green New Deal; Jaffe
180	victim	business community; labor unions; oil companies
180	villain	fossil fuels; a nonbinding resolution with an uncertain future
184	victim	Car manufacturers
184	villain	Trump administration; Callifornia
187	hero	Fourth National Climate Assessment; climate researchers who place the public interest ahead of political ideology
187	victim	Americans; public interest
187	villain	Trump administration; the White House; Happer; William Happer
188	hero	G-7 nations; government
188	victim	The kids
188	villain	Amazon fires; Bolsonaro; Brazilian President Jair Bolsonaro
189	hero	re-wilding; forests
189	victim	3.2 billion people worldwide; carbon; Food production
189	villain	the soil; Deforestation
190	hero	Emmanuel Macron; G7 aid
190	victim	the Amazon rainforest
190	villain	Brazilian President Jair Bolsonaro
191	hero	Clean Blue Paros initiative
191	victim	the island of Paros
191	villain	Plastic; Plastic waste; waste management
192	villain	fossil fuels
193	hero	Congress; resolution
193	victim	candidates
193	villain	House Speaker Nancy Pelosi's
194	hero	The Paris Climate Agreement
194	victim	the world
194	villain	Trump
202	hero	Democratic presidential candidates; Energy Secretary Rick Perry; zero-emissions technology
202	villain	carbon emissions; man-made greenhouse gases
203	victim	Brazil's Amazon rainforest
203	villain	Far-right President Jair Bolsonaro
207	hero	the left-leaning Greens'
207	villain	climate change
210	hero	Cap-and-trade system
210	victim	Climate asylum seekers; his home state of Texas
210	villain	carbon emissions
211	hero	Pope; the Paris climate agreement
211	victim	millions into poverty; the United States
211	villain	Donald Trump
212	hero	Green New Deal; a bold new proposal for tackling global warming
212	villain	carbon emissions; emissions
213	hero	Climate activists
213	victim	Florida; South Florida
213	villain	President Trump
215	victim	The United States
215	villain	President Trump; greenhouse gases
216	victim	Americans
216	villain	extreme heat
219	hero	Environmental Protection Agency Administrator Andrew Wheeler
219	villain	The Trump administration
221	hero	a U.S. judge; U.S. District Court
221	victim	climate; land and marine animals
221	villain	President Trump
222	hero	Plastic bags
222	victim	The environment
223	hero	China; India's Supreme Court; Supreme Court
223	victim	people; people in the pollution; South Asians
223	villain	agricultural burning; The burning
225	hero	Clean Power Plan
225	victim	Air quality; premature deaths; health
225	villain	The Environmental Protection Agency
227	hero	Jay Inslee
228	hero	Owner Peter Melnik a fourth-generation dairy farmer; Vanguard Renewables; an anaerobic digester
228	villain	Food waste in landfills; Wasted food; waste
229	hero	a special United Nations Summit on climate change; the 2015 Paris Agreement on climate change
229	villain	the United States
230	victim	the Australian city of Sydney
230	villain	Climate change
231	hero	youth climate activism
231	villain	Louisiana Republican Rep. Garret Graves
233	hero	reforestation; the United Nations panel on climate change
233	victim	Earth
233	villain	Emissions from agricultural production
237	hero	international community
237	victim	Mozambique; the southern African nation
237	villain	human-induced climate change; cyclone-hit northern Mozambique
238	hero	The Green New Deal
238	victim	planet; U.S climate response
238	villain	the Trump administration; Carbon emissions
239	hero	Schumer; Green New Deal
239	victim	the science behind climate change
239	villain	the Trump administration's
240	hero	Greta Thunberg
240	victim	People
240	villain	Trump; international delegates
242	hero	United Nations
242	victim	The globe; one young woman; the people
242	villain	Climate emissions; polluters
245	hero	some young conservatives; the Young Conservatives for Carbon Dividends; Carbon tax
245	villain	Republican Party; Fossil fuel companies
250	victim	A young activist from US Youth Climate Strike
250	villain	Joe Biden
252	hero	Trump
252	victim	mining and agricultural communities; people; U.S Economy
252	villain	Democrats; the top ten Democratic candidates for president in 2020; CNN
253	hero	G7 nations; Macron
253	victim	Amazon rainforest
253	villain	Wildfires; President Bolsonaro
254	hero	Green New Deal; lawmakers
254	victim	Black Communities
254	villain	man-made climate change
259	victim	Humanity's future; shoppers at the Water Tower Place
259	villain	Climate change; the climate change activists who are striking on Black Friday
260	hero	Democrat presidential candidate and billionaire Tom Steyer
260	victim	Americans
260	villain	Fossil fuels
263	hero	President Donald Trump; nuclear power; Green New Deal; the Green New Deal
263	victim	US economy
263	villain	Congresswoman Alexandria Ocasio-Cortez; fossil fuels
265	hero	Global warming activist Greta Thunberg
266	villain	Pope Francis
270	victim	woman
270	villain	fossil fuel corporations
271	hero	Sanders
271	victim	water supply; Communities; surrounding communities
271	villain	Fracking
277	hero	Community protest; the local press
277	villain	Bottled water firm Crystal Geyser's
278	hero	Elizabeth Warren
278	villain	fossil fuels; Fracking
279	hero	strike
279	victim	her mother
279	villain	emissions
282	hero	Pope Francis; the Catholic Church
282	victim	environement
282	villain	Corporations; Pollution
283	hero	Thunberg; U.S Politicians
283	victim	The planet
283	villain	the nearly 350.000-acre Mendocino Complex Fire; Donald Trump; Trump; human activity
286	victim	ordinary citizens
286	villain	Progressive political elites
287	hero	the U.S.
287	villain	China the planet's worst greenhouse gas emitter
288	hero	The declaration's signers; European Climate Declaration
288	victim	Great Britain
288	villain	global warming; climate alarmists
289	hero	the United Nations
289	victim	Global climate response; the global warming meeting
289	villain	President Donald Trump
290	villain	President Donald Trump's eldest son Don Jr.
291	victim	Californians; cooks who love to prepare food with flame; natural gas companies
291	villain	Natural gas
292	villain	Democratic presidential frontrunner Joe Biden
294	hero	Sen. Elizabeth Warren D-MA
294	victim	minority communties
294	villain	Industrial pollution
297	hero	Green New Deal
297	victim	Southern California
297	villain	Natural gas
304	hero	Christians; Pope Francis
304	victim	biodiversity; the Earth; Madagascar
304	villain	excessive deforestation; greenhouse gas emissions
305	villain	Democratic presidential frontrunner Joe Biden
308	hero	Improved water distribution systems
308	victim	Indians
308	villain	drought; Global climate change
309	hero	his climate plan; Julian Castro's Climate Plan
309	victim	the poorest communities; Puerto Rico
309	villain	Hurricane Maria; with the climate crisis
310	hero	the US; Renewables
310	villain	coal; The trend
314	hero	New York City's climate lawsuits
314	victim	New York City's; the industry's
314	villain	Amron; Susan Amron; oil companies
315	hero	California; Jerry Brown
315	victim	the country; America
315	villain	President Trump
316	hero	the Trump White House
316	victim	the U.S.; The U.S; American fossil-fuel energy development; Fossil fuel industries
316	villain	the Obama administration; memorandum
317	victim	Pielke; University of Colorado professor Roger Pielke Jr
317	villain	activists and politicians linking natural disasters to man-made global warming; politicians; journalists; The New York Times'; scientists
320	hero	a tax on carbon dioxide pollution
320	victim	Manufacturing Sector
320	villain	Big Oil
322	hero	Rooney
322	villain	The GOP; the GOP (controlling the Senate and White House)
324	victim	Climate scientist Cliff Mass
324	villain	Environmental left; a carbon tax initiative favored by activists
326	victim	employees
327	hero	the best-available science
327	villain	the Washington Post and others
330	hero	a tax on carbon dioxide emissions
330	victim	gas prices
330	villain	carbon dioxide emissions
331	hero	A federal judge; udge Brian Morris of the U.S. District Court
331	villain	U.S. State Department; the Keystone XL pipeline; the TransCanada Corporation; the TransCanada Keystone Pipeline
332	hero	Congress
332	victim	ExxonMobil
333	hero	economic freedom
333	victim	a middle class that sees itself squeezed
333	villain	manipulative climate activists; elites
334	hero	Forest Service; land management
334	victim	the nearly 350000-acre Mendocino Complex Fire; West Coast states
334	villain	environmentalists; environmental laws
338	victim	bird population; Birds; local aquatic ecosystem
338	villain	Wind farms; a small offshore wind farm
339	hero	U.S. Courts; US District Judge William Alsup
339	victim	taxpayers
339	villain	Progressive cities
344	hero	Trump; Free market
344	villain	the Paris climate agreement
345	hero	Pruitt; Envrionmental laws
345	victim	the atmosphere; The environment; water quality; wildlife; human health
345	villain	Ethanol; ethanol into the U.S. gas supply
351	hero	Shell
351	victim	other energy companies
351	villain	activist shareholders
354	hero	pastoralists; Sustainable pastoralism
354	victim	the ' Green Sahara'
354	villain	Climate change
358	hero	net negative emissions
358	victim	environment
358	villain	California Democratic Gov. Jerry Brown
361	hero	plans; Wind energy
361	victim	people; Wyoming's
361	villain	Reliance on fossil fuels
363	hero	Envrionmental laws; the American Lung Association's
363	victim	Americans; Californians
363	villain	EPA; power plant and industrial smokestacks; vehicle emissions
366	hero	NGOs and Non-profit organisations; Mongolian Government
366	victim	Ulaanbaatar residents
366	villain	carbon pollution; smog
367	victim	energy companies
367	villain	Numerous jurisdictions; Lawsuits against energy companies; The Union of Concerned Scientists
369	villain	carbon tax supporters; Green activists; carbon tax proposal
370	hero	Forest management; forest management policies
370	victim	California forests
370	villain	California's environmental laws
371	victim	America's GDP
371	villain	outdated climate modeling; The report
374	hero	the world's leaders; Paris Accord
374	villain	President Trump
375	hero	Trump
375	victim	Californians; California
375	villain	wildfires; mad-made global warming; Bad' environmental laws
378	victim	California
378	villain	the Trump administration
379	hero	Green policies
379	victim	North Carolina
379	villain	Hurricane Florence; global warming
381	hero	The United Nations Intergovernmental Panel On Climate Change's; University of Colorado professor Roger Pielke Jr.
381	victim	Mediterranean; North America; global economy
381	villain	Media outlets; other media outlets
382	hero	Gov. Tom Wolf
382	villain	Fossil fuel industry
383	hero	Envrionmental policy
383	victim	oil and gas drilling operations
383	villain	The ballot measure called Initiative 1631
384	victim	energy companies; oil companies
384	villain	Matt Pawa; Vic Sher
386	victim	the Central American migrant
386	villain	global warming; Former Vice President Al Gore
387	victim	Earth's Biodiversity; species
387	villain	Man-made global change; humans
388	victim	a middle class that sees itself squeezed; the middle class
388	villain	envrionmentalism; fuel tax
391	victim	the U.S. economy
391	villain	a major government climate report; Democrat funded research
396	hero	Forest management
396	victim	the extreme fires raging across the West; California
396	villain	human-induced climate change; Interior Secretary Ryan Zinke
399	victim	animals; environments; humans; the US; the US economy environment and human health and well-being
399	villain	the Trump administration
400	hero	Sanders
400	victim	California
400	villain	fossil fuel industry
403	hero	Obama; Emissions standards
403	victim	Appalachian mining communities; Nick Mullins a ninth-generation Appalachian from Virginia
403	villain	President Donald Trump's
404	hero	California; Clean Power Plan
404	victim	environment; economy
404	villain	the EPA
405	hero	the United States
405	victim	public health; American society; the poor; US Economy
405	villain	Trump
406	hero	Offshore drilling safety regulations
406	victim	nearly all U.S. waters; US coastal waters
406	villain	The Trump administration
408	hero	the world; Paris Agreement
408	victim	nature; nature and mankind; mankind
408	villain	emissions; emissions of carbon dioxide CO2
410	victim	the Florida Panhandle; Tyndall Air Force Base near Panama City Florida
410	villain	Hurricane Michael; the military
412	hero	Janet Garrett 10
412	victim	environment; next generations; Jordan's Ohio 4th Congressional District
412	villain	Jim Jordan
414	victim	Southern States
414	villain	New York City
415	hero	Clean air rules
415	victim	poor people and communities of color
415	villain	the EPA
417	hero	The court
417	victim	Children of the US
417	villain	the US government
418	victim	the devastating Camp fire in Northern California; The environment
418	villain	Trump administration; President Trump
423	hero	California; AOC; The U.N.'s Intergovernmental Panel on Climate Change
423	victim	the world
423	villain	anti-environmentalist conservatives; greenhouse gas emissions
424	victim	Americans; California
424	villain	the Trump administration
425	hero	the Intergovernmental Panel on Climate Change
425	victim	small islands; major coastal metropolises; U.S climate response
425	villain	the U.S.; Republicans
426	hero	the agency; Envrionmental laws
426	victim	Water; health; people living near coal ash sites
426	villain	Pruitt; the EPA; Scott Pruitt
428	hero	very modest coal ash safeguards
428	victim	Communities near power plants; people from across the US
428	villain	Scott Pruitt; coal-plant owners
429	hero	Englebright
429	victim	low-income communities; neighborhoods of color; New Yorkers
429	villain	Andrew Cuomo; Cuomo's
430	hero	Congress; Ocasio-Cortez
430	victim	California
430	villain	Fossil Fuel Billionaires
431	hero	report; Reducing carbon emissions; reductions in carbon emissions
431	victim	Americans; Florida
431	villain	Sen. Marco Rubio R-FL
435	victim	future generations
435	villain	Interior Secretary Ryan Zinke
437	hero	the US Forest Service
437	victim	California's wildfires; California
437	villain	Climate change; Donald Trump's Interior head Ryan Zinke
438	victim	environement
438	villain	Interior Secretary Ryan Zinke
441	victim	[our] grandkids; grandkids; Young people (grandkids); Carribbean; military installations
443	hero	the White House
443	victim	Tropical regions; asylum seekers; migrants
443	villain	Trump
444	hero	FEMA
444	victim	The United States; US climate response
444	villain	the Trump administration's
448	hero	The U.S. Supreme Court
448	villain	the President Donald Trump's administration
449	hero	a Green New Deal
449	victim	Paris Accord
449	villain	Trump administration; the White House
450	victim	the US
450	villain	The Trump administration
452	hero	Rhode Island lawsuit
452	victim	Rhode Islanders; Rhode Island
452	villain	companies; oil companies
453	victim	Obama-era environmental regulations
453	villain	the Environmental Protection Agency; the EPA; Trump administration
456	hero	Green Jobs Plan; more 'green' jobs
456	villain	Trump; greenhouse gas emissions
459	victim	public health; quality of life; US quality of life
459	villain	the new US ambassador to Canada Kelly Craft; emissions
466	hero	Democrat Governors; Democrat Stephen Sisolak; governors
466	victim	the House Climate Solutions Caucus
466	villain	divided Congress; president
467	hero	Envrionmental regulations
467	victim	coal mining jobs
467	villain	The Environmental Protection Agency
468	victim	the Environmental Protection Agency; environmental regulations
468	villain	President Donald Trump; a significantly less notorious successor
469	victim	endangered species; California
469	villain	California wildfires; Donald Trump
470	hero	Obama
470	victim	people; West Virginia
470	villain	President Donald Trump
471	victim	Powell
471	villain	Republican Rep. Carlos Curbelo; a two-term incumbent; oil and gas industry
472	victim	Coastal cities; Farmers
472	villain	climate change; Human activities
473	hero	Sanders
473	villain	AOC
474	victim	environement; Envrionmental cases in the Supreme Court
474	villain	Trump administration; Judge Brett Kavanaugh
476	hero	Forest management
476	victim	the forest; Californians
476	villain	Climate change; Donald Trump
478	hero	Environmental groups; state legislators
478	victim	Atlantic Coast; Voters
478	villain	Trump
479	hero	a wildfire
479	victim	California
479	villain	the ongoing Camp Fire in Northern California; humans
485	hero	Democrats; Clean energy
485	victim	weather; public health
485	villain	Trump; Republicans; Carbon energy
486	hero	Winberg; Paris Agreement
486	villain	Trump; Trump administration; fossil fuel industry
487	hero	the US Government; society to reduce greenhouse gas emissions
487	victim	American health; the US; American economy
487	villain	the Trump administration's; fossil fuels
488	victim	public health mission; Climate regulation; environmental and climate regulations
488	villain	Donald Trump; His replacement
495	hero	State and local governments; Ekwurzel
495	victim	Americans; U.S Economy
495	villain	global greenhouse gas emissions; greenhouse gas emissions
498	victim	Villages near power plants; pollution near the village
498	villain	China
500	hero	Emissions reduction; U.N. Intergovernmental Panel on Climate Change
500	victim	the world; 5 crops; global food production
500	villain	average global temperatures; Climate change
501	victim	the State Department; Paris Agreement
501	villain	Trump; CIA Director Mike Pompeo
504	hero	Obama-era regulations; plans
504	victim	Obama-era climate regulations
504	villain	The Trump administration
506	victim	Antarctica
508	hero	Moms Clean Air Force; the American Lung Association
508	victim	mainstream climate-change groups; environmental regulation and enforcement
508	villain	Environmental Protection Agency
510	hero	demonstrators; State Officials; the California Coastal Commission
510	victim	Coastal cities
510	villain	Trump administration; offshore oil drilling
512	hero	Democrats; Alexandria Ocasio-Cortez
512	victim	60 % of the nation's bodies of water; sources of drinking water; America
512	villain	Donald Trump; Donald Trump's; The current administrator of the EPA Andrew Wheeler
515	hero	Clean Air Act
515	victim	clean air standards
515	villain	Trump administration; President Trump's
516	hero	Endangered Species Act ESA
516	victim	species; threatened plant and animal species
520	hero	California lawsuit
520	victim	Californians; children; California
520	villain	the Trump administration
522	hero	a UN-backed study
522	victim	African biodiversity; plants and animal species; quality of life
522	villain	mankind; pollution climate change and deforestation
524	victim	water; the Clean Water Act
524	villain	the EPA; Trump; Trump administration
525	hero	high-income countries; Sustainable consumption
525	victim	The Planet?
525	villain	Captialist consumption
527	villain	an estimated 573.000 birds and 888.000 bats a year
532	hero	forest management
532	victim	California
532	villain	climate change; environmental groups; environmental terrorist groups
533	hero	wind power; wind power-7.85 gigawatts GW
533	victim	Tamil Nadu farmers
533	villain	India's southern state of Tamil Nadu; coal power plants
537	hero	New green technologies
537	victim	displacement of millions
537	villain	greenhouse gases
545	hero	Climate policy
545	victim	California's
545	villain	climate change; California; Trump; California's environmental policies
547	hero	Supreme Court Justice Anthony Kennedy
547	victim	the endangered dusky gopher frog
547	villain	Trump; Court
551	hero	Eric Schneiderman New York's attorney general
551	victim	The environment; Americans
551	villain	the EPA; Trump administration
556	victim	Residents of Berkieley
556	villain	the Berkeley City Council
557	hero	the Center for Biological Diversity
557	victim	A tiny endangered butterfly
557	villain	President Donald Trump
558	victim	Florida
558	villain	Florida Governor Rick Scott
559	victim	Marine life
559	villain	Trump
565	hero	University of Auckland study
565	villain	Rising sea levels; alarmists; Tuvalu
567	hero	Californian voters
569	hero	UN report on climate change
569	victim	coral reef; environment
569	villain	President Trump
570	hero	Californias water management
570	villain	US President Donald Trump
576	hero	the Paris Agreement
576	villain	Donald Trump
582	hero	Sound science
582	villain	climate alarmists; advocacy groups; Journalists; Climate scientists
583	hero	Seawalls; James Ooker Eskridge
583	victim	an island disappearing in the Chesapeake Bay
583	villain	erosion; Al Gore's
586	hero	decreasing carbon emissions
586	victim	mass extinction; humanity
586	villain	carbon emissions
589	hero	Conservation Voters; The Natural Resources Defense Council NRDC the Center for Biological Diversity
589	victim	The ocean; environmental groups/environmentalists
589	villain	Obama; the Trump administration
593	hero	the Trump administration; Trump; Environmental Protection Agency
593	victim	power plants
593	villain	utilities; Obama-era regulations
594	hero	coal
594	victim	Coal workers
594	villain	China
595	hero	California; Nichols
595	victim	Auto industry; car industry
595	villain	Polluting autos
596	hero	a press release touting the study's new findings
596	victim	species in some parts of the world
596	villain	rising temperatures
597	hero	President Donald J. Trump
597	victim	America; our economy
597	villain	elites; liberal agenda
601	villain	climate alarmists; Comedian Bill Nye
602	hero	Spencer
602	victim	Exxon
602	villain	Los Angeles Times
605	hero	free markets competition
605	victim	taxpayers
605	villain	the Left; energy subsidies and regulations
607	hero	A coalition of states
607	villain	Schneiderman; the Trump administration's
611	hero	Fox News host Tucker Carlson
611	victim	environment; workers and their families
611	villain	Liberals
614	victim	environment
614	villain	Liberal elites'
616	villain	people
618	hero	activists; James Eskridge mayor of the mainly Republican island community
618	victim	its 450 residents; Tangier residents
618	villain	Rising sea levels; a powerful new ally : U.S. President Donald Trump
619	hero	a new study
619	victim	people impacted by natural disasters
624	hero	A coalition of left-leaning states and environmental groups; clean power infrastructure
624	victim	Obama's Clean Power Plan
624	villain	Environmental Protection Agency Administrator Scott Pruitt; the Trump administration's
628	hero	Oil spill catchment facilities
628	victim	Local ranchers
628	villain	Environmental Left; the protests
630	villain	media; NBC Nightly News
632	hero	rollback of federal environmental regulations
632	victim	taxpayers
632	villain	proposed carbon tax; the Climate Leadership Council CLC; tax and value
634	victim	Antarctica
634	villain	global warming; The New York Times
638	hero	Californian authorities; Authorities
638	victim	homeowners; Northern California homeowners
638	villain	wildfires
639	hero	Trump
639	victim	plants and food; America
639	villain	former Secretary of State John Kerry
640	hero	three prominent European heads of state; the Paris climate accord
640	victim	our planet; Global climate response
640	villain	President Trump's
642	hero	Trump
642	victim	Workers; the country
642	villain	Obama; the Clean Air Act
643	victim	kids
643	villain	the Left
646	hero	water supply expansion
646	victim	Californians
646	villain	California's Jerry Brown
650	victim	Antarctic regions; Antarctica
650	villain	Melting ice sheets; Global warming
651	victim	Grandma; Normal people
651	villain	Radical environmentalists; A recent Vox piece by Dean Peterson
652	hero	Riggi
652	victim	an estimated 573000 birds and 888000 bats a year; town of Yates
652	villain	Democratic Gov. Andrew Cuomo's
655	hero	Canadian Prime Minister Justin Trudeau; Paris climate accord
655	victim	the world; our economy
655	villain	Trump
656	hero	carbon dioxide
656	victim	climate alarmists
656	villain	carbon dioxide emissions
657	victim	Donald Trump; Conservatives
657	villain	the New York Times
661	victim	residents; East Chicago
661	villain	hazardous waste
662	hero	the EPA's regulations
662	victim	environment; human health; the EPA
662	villain	Trump administration; Institute
663	victim	The Arctic
664	hero	Congressional Democrats
664	victim	Region; the Great Lakes area office
664	villain	Trump
665	hero	the world; The New York Times
665	victim	glaciers; the U.S.
665	villain	Trump; Trump administration
667	hero	Envrionmental laws; market-based policies on their own
667	villain	Washington; white house; their carbon pollution
668	hero	Climate policy
668	victim	people of color and poor people; people of color; poor people
668	villain	Trump; Trump administration
674	hero	Boasberg
674	victim	Standing Rock Sioux community
674	villain	the Dakota Access oil pipeline
675	hero	Paris Agreement
675	villain	Trump
676	hero	The Clean Power Plan
676	victim	Citizens impacted by environmental disasters; the United States'
676	villain	the Trump administration
678	hero	Senators; Clean Energy Technology
678	victim	Texas
678	villain	Republican politicians; Fossil fuels
