ID	entity	role
96	a Green New Deal	hero
97	Air quality	victim
97	people	victim
97	the EPA	villain
97	Trump	villain
97	Clean air regulation	hero
97	observational data time series and quasi-experiments	hero
98	Americans	victim
98	Republicans	villain
98	fossil fuel workers	victim
98	Global emissions	villain
98	Green New Deal	hero
99	President Donald Trump's	villain
99	her state	hero
99	U.S climate response	victim
99	Former President Barack Obama's plan	hero
100	climate activists	hero
100	Democrat President	hero
102	Monument	victim
102	National Parks Conservation Association	hero
102	indigenous tribes throughout the U.S. Southwest	victim
102	Bureau of Land Management	villain
102	The Trump administation	villain
103	fires that are raging in the Amazon	victim
103	Wildfires	villain
103	Brazilian Military	hero
104	Trump	villain
104	the United Nations	hero
104	the US	villain
104	UN	hero
109	3 million species of plants and animals and 1 million or so people who call the Amazon home	victim
109	The Amazon	victim
109	right-wing President Jair Bolsonaro's environmental policies	villain
110	Trump administration	hero
110	National Economic Council Director Larry Kudlow	villain
110	U.S Economy	victim
110	Green New Deal	villain
110	proposal	hero
111	The Amazon rainforest	victim
111	The human race	victim
111	Bolsonaro	villain
111	left parties	hero
111	The EU	hero
111	The UN	hero
112	America's public land	hero
112	the Trump administration	villain
112	Democrat President	hero
112	fossil fuel extraction	villain
113	human health	victim
113	the EPA	victim
113	Trump Administration	villain
113	US economy	victim
113	Obama-era regulations	hero
115	federal and Native American land	victim
115	public health	victim
115	Trump administration	villain
115	greenhouse gas emissions	villain
115	Clean Power Plan	hero
119	President Donald Trump	villain
119	world	victim
119	Democrat President	hero
119	U.S climate response	victim
119	new standards that had been implemented during the Obama administration	hero
122	America	victim
122	other candidates	hero
122	Carbon pollution	villain
123	The Democratic candidates	hero
123	the fossil fuel industry	villain
123	Green New Deal	hero
124	Life on Earth	victim
124	tropical forests	hero
124	Climate change	villain
124	Deforestation	villain
124	scientists	hero
125	our planet	victim
125	our future	victim
125	our people	victim
125	Massey	villain
125	Republicans	villain
126	communities of colour	victim
126	minorities	victim
126	Democrat President	hero
126	Sen. Kamala Harris	hero
126	climate pollution	villain
126	Green New Deal	hero
128	the United States	victim
128	Trump administration	villain
134	Trump	villain
134	Republican	villain
134	fossil fuels	villain
134	Farmers	victim
134	the Green New Deal	hero
135	Democrats	victim
135	Oregan Democrats	hero
135	Oregon Republicans	villain
135	Senate President Peter Courtney	hero
136	Democrats	hero
136	Democrat-led States	victim
136	EPA Administrator Andrew Wheeler	villain
137	William Perry Pendley	villain
137	director	villain
138	climate change	villain
138	the Green New Deal Virginia	hero
139	Trump	villain
139	U.S. presidential hopeful Kamala Harris'	hero
139	U.S. presidential hopeful Kamala Harris' campaign	hero
141	the Trump administration	villain
141	U.S climate response	victim
141	professor	villain
145	Trump	villain
145	O'Rourke	hero
145	fossil fuel industry	villain
145	the Green New Deal	hero
146	1 million species of land and marine species	victim
146	Endangered species	victim
146	Congress	hero
146	the Trump administration's	villain
146	The U.S	victim
146	U.S climate response	victim
147	climate change	villain
147	Baldwin	hero
147	Ross	hero
147	Floridians	victim
147	Democrat Presidential Candidates	hero
147	Miami	victim
148	Ivanka Trump	villain
149	Presidential candidates	villain
149	Sanders	hero
149	Carbon offsets	hero
150	Trump administration	villain
150	Marine Corps Base Camp Lejeune in North Carolina	victim
150	Pentagon	villain
150	the defense department	victim
150	the Congressionally mandated report	hero
151	Environmentalists	hero
151	The Trump administration	villain
151	Obama-era regulations	hero
154	the federal government	hero
154	capitalism	villain
154	the Green New Deal	hero
157	Human Health	victim
157	Humanity	victim
157	America	victim
157	EPA	villain
157	Trump's recently installed EPA chief	villain
157	US Economy	victim
157	Green New Deal	hero
161	Amazon rainforest	victim
161	President Trump	villain
161	The G-7	hero
162	global warming	villain
162	the United States	hero
162	Senator Bernie Sanders	hero
162	planet-warming greenhouse gases	villain
162	Green New Deal	hero
164	birds	victim
164	Trump	villain
164	wind power industry	hero
166	the climate crisis	villain
166	Democrats vying for president	hero
166	the republican party	victim
167	climate advocates	hero
167	Democrats	hero
167	Clement	hero
167	Donald Trump's	villain
167	the country's	victim
167	Green New Deal	hero
168	clean water	victim
168	Andrew Wheeler	villain
168	President Donald Trump's	villain
168	Obama-era regulations	victim
168	Obama-era environmental regulations	victim
169	an island nation on the frontline of climate change	victim
169	the Marshall Islands	victim
169	US President Donald Trump	villain
169	greenhouse gases	villain
169	the Paris Agreement	hero
174	Americans	victim
174	President Donald Trump	villain
174	Democrats	hero
174	House Natural Resources Committee	villain
174	Environmental regulations	victim
175	Fracking	villain
177	Tetiaroa	victim
177	Rats	villain
177	their carbon footprint	villain
177	The Brando	hero
178	The duke and his wife Meghan	villain
178	The Duke of Sussex	villain
178	the carbon emissions	victim
178	Carbon offsetting	hero
179	Americans	victim
179	public health	victim
179	children	victim
179	the Environmental Protection Agency	victim
179	former coal industry lobbyist Andrew Wheeler	villain
179	The Senate	villain
179	Collins	hero
180	fossil fuels	villain
180	business community	victim
180	Green New Deal	hero
180	a nonbinding resolution with an uncertain future	villain
180	Jaffe	hero
184	Trump administration	villain
184	Callifornia	villain
184	Car manufacturers	victim
187	Americans	victim
187	public interest	victim
187	Trump administration	villain
187	the White House	villain
187	Fourth National Climate Assessment	hero
187	climate researchers who place the public interest ahead of political ideology	hero
187	Happer	villain
187	William Happer	villain
188	Amazon fires	villain
188	The kids	victim
188	Bolsonaro	villain
188	Brazilian President Jair Bolsonaro	villain
188	G-7 nations	hero
188	government	hero
189	re-wilding	hero
189	forests	hero
189	the soil	villain
189	3.2 billion people worldwide	victim
189	carbon	victim
189	Deforestation	villain
189	Food production	victim
190	the Amazon rainforest	victim
190	Brazilian President Jair Bolsonaro	villain
190	Emmanuel Macron	hero
190	G7 aid	hero
191	the island of Paros	victim
191	Plastic	villain
191	Plastic waste	villain
191	waste management	villain
191	Clean Blue Paros initiative	hero
192	fossil fuels	villain
193	candidates	victim
193	Congress	hero
193	House Speaker Nancy Pelosi's	villain
193	resolution	hero
194	Trump	villain
194	the world	victim
194	The Paris Climate Agreement	hero
202	Democratic presidential candidates	hero
202	Energy Secretary Rick Perry	hero
202	carbon emissions	villain
202	man-made greenhouse gases	villain
202	zero-emissions technology	hero
203	Brazil's Amazon rainforest	victim
203	Far-right President Jair Bolsonaro	villain
207	climate change	villain
207	the left-leaning Greens'	hero
210	Climate asylum seekers	victim
210	his home state of Texas	victim
210	carbon emissions	villain
210	Cap-and-trade system	hero
211	millions into poverty	victim
211	Donald Trump	villain
211	the United States	victim
211	Pope	hero
211	the Paris climate agreement	hero
212	carbon emissions	villain
212	emissions	villain
212	Green New Deal	hero
212	a bold new proposal for tackling global warming	hero
213	Climate activists	hero
213	President Trump	villain
213	Florida	victim
213	South Florida	victim
215	President Trump	villain
215	The United States	victim
215	greenhouse gases	villain
216	extreme heat	villain
216	Americans	victim
219	The Trump administration	villain
219	Environmental Protection Agency Administrator Andrew Wheeler	hero
221	climate	victim
221	land and marine animals	victim
221	President Trump	villain
221	a U.S. judge	hero
221	U.S. District Court	hero
222	The environment	victim
222	Plastic bags	hero
223	people	victim
223	people in the pollution	victim
223	South Asians	victim
223	China	hero
223	India's Supreme Court	hero
223	Supreme Court	hero
223	agricultural burning	villain
223	The burning	villain
225	Air quality	victim
225	premature deaths	victim
225	health	victim
225	The Environmental Protection Agency	villain
225	Clean Power Plan	hero
227	Jay Inslee	hero
228	Owner Peter Melnik a fourth-generation dairy farmer	hero
228	Food waste in landfills	villain
228	Wasted food	villain
228	waste	villain
228	Vanguard Renewables	hero
228	an anaerobic digester	hero
229	the United States	villain
229	a special United Nations Summit on climate change	hero
229	the 2015 Paris Agreement on climate change	hero
230	Climate change	villain
230	the Australian city of Sydney	victim
231	youth climate activism	hero
231	Louisiana Republican Rep. Garret Graves	villain
233	reforestation	hero
233	Earth	victim
233	Emissions from agricultural production	villain
233	the United Nations panel on climate change	hero
237	human-induced climate change	villain
237	international community	hero
237	Mozambique	victim
237	the southern African nation	victim
237	cyclone-hit northern Mozambique	villain
238	planet	victim
238	the Trump administration	villain
238	Carbon emissions	villain
238	The Green New Deal	hero
238	U.S climate response	victim
239	Schumer	hero
239	the Trump administration's	villain
239	Green New Deal	hero
239	the science behind climate change	victim
240	Greta Thunberg	hero
240	People	victim
240	Trump	villain
240	international delegates	villain
242	The globe	victim
242	one young woman	victim
242	the people	victim
242	United Nations	hero
242	Climate emissions	villain
242	polluters	villain
245	Republican Party	villain
245	some young conservatives	hero
245	the Young Conservatives for Carbon Dividends	hero
245	Fossil fuel companies	villain
245	Carbon tax	hero
250	A young activist from US Youth Climate Strike	victim
250	Joe Biden	villain
252	mining and agricultural communities	victim
252	people	victim
252	Democrats	villain
252	Trump	hero
252	the top ten Democratic candidates for president in 2020	villain
252	U.S Economy	victim
252	CNN	villain
253	Amazon rainforest	victim
253	Wildfires	villain
253	G7 nations	hero
253	Macron	hero
253	President Bolsonaro	villain
254	man-made climate change	villain
254	Black Communities	victim
254	Green New Deal	hero
254	lawmakers	hero
259	Climate change	villain
259	the climate change activists who are striking on Black Friday	villain
259	Humanity's future	victim
259	shoppers at the Water Tower Place	victim
260	Americans	victim
260	Democrat presidential candidate and billionaire Tom Steyer	hero
260	Fossil fuels	villain
263	President Donald Trump	hero
263	Congresswoman Alexandria Ocasio-Cortez	villain
263	fossil fuels	villain
263	nuclear power	hero
263	US economy	victim
263	Green New Deal	hero
263	the Green New Deal	hero
265	Global warming activist Greta Thunberg	hero
266	Pope Francis	villain
270	woman	victim
270	fossil fuel corporations	villain
271	water supply	victim
271	Communities	victim
271	surrounding communities	victim
271	Sanders	hero
271	Fracking	villain
277	Community protest	hero
277	Bottled water firm Crystal Geyser's	villain
277	the local press	hero
278	Elizabeth Warren	hero
278	fossil fuels	villain
278	Fracking	villain
279	strike	hero
279	her mother	victim
279	emissions	villain
282	environement	victim
282	Pope Francis	hero
282	the Catholic Church	hero
282	Corporations	villain
282	Pollution	villain
283	The planet	victim
283	the nearly 350.000-acre Mendocino Complex Fire	villain
283	Thunberg	hero
283	Donald Trump	villain
283	Trump	villain
283	U.S Politicians	hero
283	human activity	villain
286	ordinary citizens	victim
286	Progressive political elites	villain
287	the U.S.	hero
287	China the planet's worst greenhouse gas emitter	villain
288	global warming	villain
288	climate alarmists	villain
288	Great Britain	victim
288	The declaration's signers	hero
288	European Climate Declaration	hero
289	President Donald Trump	villain
289	the United Nations	hero
289	Global climate response	victim
289	the global warming meeting	victim
290	President Donald Trump's eldest son Don Jr.	villain
291	Californians	victim
291	cooks who love to prepare food with flame	victim
291	Natural gas	villain
291	natural gas companies	victim
292	Democratic presidential frontrunner Joe Biden	villain
294	minority communties	victim
294	Sen. Elizabeth Warren D-MA	hero
294	Industrial pollution	villain
297	Southern California	victim
297	Natural gas	villain
297	Green New Deal	hero
304	biodiversity	victim
304	the Earth	victim
304	Christians	hero
304	Madagascar	victim
304	Pope Francis	hero
304	excessive deforestation	villain
304	greenhouse gas emissions	villain
305	Democratic presidential frontrunner Joe Biden	villain
308	drought	villain
308	Global climate change	villain
308	Indians	victim
308	Improved water distribution systems	hero
309	Hurricane Maria	villain
309	with the climate crisis	villain
309	the poorest communities	victim
309	Puerto Rico	victim
309	his climate plan	hero
309	Julian Castro's Climate Plan	hero
310	the US	hero
310	coal	villain
310	The trend	villain
310	Renewables	hero
314	Amron	villain
314	New York City's	victim
314	Susan Amron	villain
314	oil companies	villain
314	the industry's	victim
314	New York City's climate lawsuits	hero
315	the country	victim
315	California	hero
315	President Trump	villain
315	America	victim
315	Jerry Brown	hero
316	the U.S.	victim
316	the Obama administration	villain
316	the Trump White House	hero
316	The U.S	victim
316	American fossil-fuel energy development	victim
316	Fossil fuel industries	victim
316	memorandum	villain
317	activists and politicians linking natural disasters to man-made global warming	villain
317	politicians	villain
317	journalists	villain
317	The New York Times'	villain
317	Pielke	victim
317	scientists	villain
317	University of Colorado professor Roger Pielke Jr	victim
320	Big Oil	villain
320	Manufacturing Sector	victim
320	a tax on carbon dioxide pollution	hero
322	The GOP	villain
322	the GOP (controlling the Senate and White House)	villain
322	Rooney	hero
324	Environmental left	villain
324	a carbon tax initiative favored by activists	villain
324	Climate scientist Cliff Mass	victim
326	employees	victim
327	the Washington Post and others	villain
327	the best-available science	hero
330	carbon dioxide emissions	villain
330	gas prices	victim
330	a tax on carbon dioxide emissions	hero
331	A federal judge	hero
331	U.S. State Department	villain
331	udge Brian Morris of the U.S. District Court	hero
331	the Keystone XL pipeline	villain
331	the TransCanada Corporation	villain
331	the TransCanada Keystone Pipeline	villain
332	Congress	hero
332	ExxonMobil	victim
333	manipulative climate activists	villain
333	a middle class that sees itself squeezed	victim
333	elites	villain
333	economic freedom	hero
334	the nearly 350000-acre Mendocino Complex Fire	victim
334	environmentalists	villain
334	Forest Service	hero
334	West Coast states	victim
334	environmental laws	villain
334	land management	hero
338	bird population	victim
338	Birds	victim
338	local aquatic ecosystem	victim
338	Wind farms	villain
338	a small offshore wind farm	villain
339	taxpayers	victim
339	Progressive cities	villain
339	U.S. Courts	hero
339	US District Judge William Alsup	hero
344	Trump	hero
344	Free market	hero
344	the Paris climate agreement	villain
345	the atmosphere	victim
345	The environment	victim
345	water quality	victim
345	wildlife	victim
345	human health	victim
345	Pruitt	hero
345	Ethanol	villain
345	ethanol into the U.S. gas supply	villain
345	Envrionmental laws	hero
351	activist shareholders	villain
351	other energy companies	victim
351	Shell	hero
354	the ' Green Sahara'	victim
354	Climate change	villain
354	pastoralists	hero
354	Sustainable pastoralism	hero
358	environment	victim
358	California Democratic Gov. Jerry Brown	villain
358	net negative emissions	hero
361	people	victim
361	Wyoming's	victim
361	Reliance on fossil fuels	villain
361	plans	hero
361	Wind energy	hero
363	Americans	victim
363	Californians	victim
363	EPA	villain
363	power plant and industrial smokestacks	villain
363	vehicle emissions	villain
363	Envrionmental laws	hero
363	the American Lung Association's	hero
366	NGOs and Non-profit organisations	hero
366	Ulaanbaatar residents	victim
366	Mongolian Government	hero
366	carbon pollution	villain
366	smog	villain
367	Numerous jurisdictions	villain
367	energy companies	victim
367	Lawsuits against energy companies	villain
367	The Union of Concerned Scientists	villain
369	carbon tax supporters	villain
369	Green activists	villain
369	carbon tax proposal	villain
370	Forest management	hero
370	California forests	victim
370	California's environmental laws	villain
370	forest management policies	hero
371	America's GDP	victim
371	outdated climate modeling	villain
371	The report	villain
374	President Trump	villain
374	the world's leaders	hero
374	Paris Accord	hero
375	wildfires	villain
375	mad-made global warming	villain
375	Californians	victim
375	California	victim
375	Trump	hero
375	Bad' environmental laws	villain
378	California	victim
378	the Trump administration	villain
379	Hurricane Florence	villain
379	global warming	villain
379	North Carolina	victim
379	Green policies	hero
381	The United Nations Intergovernmental Panel On Climate Change's	hero
381	Mediterranean	victim
381	North America	victim
381	global economy	victim
381	Media outlets	villain
381	other media outlets	villain
381	University of Colorado professor Roger Pielke Jr.	hero
382	Gov. Tom Wolf	hero
382	Fossil fuel industry	villain
383	oil and gas drilling operations	victim
383	Envrionmental policy	hero
383	The ballot measure called Initiative 1631	villain
384	energy companies	victim
384	oil companies	victim
384	Matt Pawa	villain
384	Vic Sher	villain
386	global warming	villain
386	the Central American migrant	victim
386	Former Vice President Al Gore	villain
387	Earth's Biodiversity	victim
387	species	victim
387	Man-made global change	villain
387	humans	villain
388	envrionmentalism	villain
388	a middle class that sees itself squeezed	victim
388	the middle class	victim
388	fuel tax	villain
391	the U.S. economy	victim
391	a major government climate report	villain
391	Democrat funded research	villain
396	Forest management	hero
396	the extreme fires raging across the West	victim
396	human-induced climate change	villain
396	California	victim
396	Interior Secretary Ryan Zinke	villain
399	animals	victim
399	environments	victim
399	humans	victim
399	the Trump administration	villain
399	the US	victim
399	the US economy environment and human health and well-being	victim
400	California	victim
400	Sanders	hero
400	fossil fuel industry	villain
403	Appalachian mining communities	victim
403	Nick Mullins a ninth-generation Appalachian from Virginia	victim
403	Obama	hero
403	President Donald Trump's	villain
403	Emissions standards	hero
404	environment	victim
404	California	hero
404	the EPA	villain
404	economy	victim
404	Clean Power Plan	hero
405	public health	victim
405	American society	victim
405	the poor	victim
405	the United States	hero
405	Trump	villain
405	US Economy	victim
406	nearly all U.S. waters	victim
406	US coastal waters	victim
406	The Trump administration	villain
406	Offshore drilling safety regulations	hero
408	nature	victim
408	nature and mankind	victim
408	mankind	victim
408	the world	hero
408	emissions	villain
408	emissions of carbon dioxide CO2	villain
408	Paris Agreement	hero
410	Hurricane Michael	villain
410	the Florida Panhandle	victim
410	the military	villain
410	Tyndall Air Force Base near Panama City Florida	victim
412	environment	victim
412	next generations	victim
412	Janet Garrett 10	hero
412	Jim Jordan	villain
412	Jordan's Ohio 4th Congressional District	victim
414	New York City	villain
414	Southern States	victim
415	poor people and communities of color	victim
415	the EPA	villain
415	Clean air rules	hero
417	Children of the US	victim
417	The court	hero
417	the US government	villain
418	the devastating Camp fire in Northern California	victim
418	The environment	victim
418	Trump administration	villain
418	President Trump	villain
423	the world	victim
423	California	hero
423	anti-environmentalist conservatives	villain
423	AOC	hero
423	greenhouse gas emissions	villain
423	The U.N.'s Intergovernmental Panel on Climate Change	hero
424	Americans	victim
424	California	victim
424	the Trump administration	villain
425	small islands	victim
425	major coastal metropolises	victim
425	the U.S.	villain
425	Republicans	villain
425	U.S climate response	victim
425	the Intergovernmental Panel on Climate Change	hero
426	Water	victim
426	health	victim
426	people living near coal ash sites	victim
426	Pruitt	villain
426	the EPA	villain
426	Scott Pruitt	villain
426	the agency	hero
426	Envrionmental laws	hero
428	Communities near power plants	victim
428	people from across the US	victim
428	Scott Pruitt	villain
428	coal-plant owners	villain
428	very modest coal ash safeguards	hero
429	low-income communities	victim
429	neighborhoods of color	victim
429	New Yorkers	victim
429	Andrew Cuomo	villain
429	Cuomo's	villain
429	Englebright	hero
430	California	victim
430	Congress	hero
430	Ocasio-Cortez	hero
430	Fossil Fuel Billionaires	villain
431	Americans	victim
431	Florida	victim
431	Sen. Marco Rubio R-FL	villain
431	report	hero
431	Reducing carbon emissions	hero
431	reductions in carbon emissions	hero
435	future generations	victim
435	Interior Secretary Ryan Zinke	villain
437	California's wildfires	victim
437	Climate change	villain
437	California	victim
437	Donald Trump's Interior head Ryan Zinke	villain
437	the US Forest Service	hero
438	environement	victim
438	Interior Secretary Ryan Zinke	villain
441	[our] grandkids	victim
441	grandkids	victim
441	Young people (grandkids)	victim
441	Carribbean	victim
441	military installations	victim
443	Tropical regions	victim
443	asylum seekers	victim
443	migrants	victim
443	Trump	villain
443	the White House	hero
444	The United States	victim
444	FEMA	hero
444	the Trump administration's	villain
444	US climate response	victim
448	the President Donald Trump's administration	villain
448	The U.S. Supreme Court	hero
449	Trump administration	villain
449	the White House	villain
449	a Green New Deal	hero
449	Paris Accord	victim
450	The Trump administration	villain
450	the US	victim
452	Rhode Islanders	victim
452	Rhode Island	victim
452	companies	villain
452	oil companies	villain
452	Rhode Island lawsuit	hero
453	the Environmental Protection Agency	villain
453	the EPA	villain
453	Trump administration	villain
453	Obama-era environmental regulations	victim
456	Trump	villain
456	greenhouse gas emissions	villain
456	Green Jobs Plan	hero
456	more 'green' jobs	hero
459	public health	victim
459	quality of life	victim
459	US quality of life	victim
459	the new US ambassador to Canada Kelly Craft	villain
459	emissions	villain
466	Democrat Governors	hero
466	Democrat Stephen Sisolak	hero
466	divided Congress	villain
466	governors	hero
466	president	villain
466	the House Climate Solutions Caucus	victim
467	The Environmental Protection Agency	villain
467	coal mining jobs	victim
467	Envrionmental regulations	hero
468	President Donald Trump	villain
468	the Environmental Protection Agency	victim
468	a significantly less notorious successor	villain
468	environmental regulations	victim
469	endangered species	victim
469	California wildfires	villain
469	California	victim
469	Donald Trump	villain
470	people	victim
470	Obama	hero
470	President Donald Trump	villain
470	West Virginia	victim
471	Powell	victim
471	Republican Rep. Carlos Curbelo	villain
471	a two-term incumbent	villain
471	oil and gas industry	villain
472	climate change	villain
472	Coastal cities	victim
472	Farmers	victim
472	Human activities	villain
473	AOC	villain
473	Sanders	hero
474	environement	victim
474	Trump administration	villain
474	Judge Brett Kavanaugh	villain
474	Envrionmental cases in the Supreme Court	victim
476	Forest management	hero
476	the forest	victim
476	Climate change	villain
476	Californians	victim
476	Donald Trump	villain
478	Atlantic Coast	victim
478	Environmental groups	hero
478	Voters	victim
478	Trump	villain
478	state legislators	hero
479	a wildfire	hero
479	the ongoing Camp Fire in Northern California	villain
479	humans	villain
479	California	victim
485	weather	victim
485	public health	victim
485	Democrats	hero
485	Trump	villain
485	Republicans	villain
485	Carbon energy	villain
485	Clean energy	hero
486	Trump	villain
486	Trump administration	villain
486	Winberg	hero
486	fossil fuel industry	villain
486	Paris Agreement	hero
487	American health	victim
487	the Trump administration's	villain
487	the US	victim
487	the US Government	hero
487	fossil fuels	villain
487	American economy	victim
487	society to reduce greenhouse gas emissions	hero
488	public health mission	victim
488	Donald Trump	villain
488	His replacement	villain
488	Climate regulation	victim
488	environmental and climate regulations	victim
495	Americans	victim
495	State and local governments	hero
495	global greenhouse gas emissions	villain
495	greenhouse gas emissions	villain
495	U.S Economy	victim
495	Ekwurzel	hero
498	Villages near power plants	victim
498	China	villain
498	pollution near the village	victim
500	average global temperatures	villain
500	the world	victim
500	Climate change	villain
500	5 crops	victim
500	global food production	victim
500	Emissions reduction	hero
500	U.N. Intergovernmental Panel on Climate Change	hero
501	Trump	villain
501	CIA Director Mike Pompeo	villain
501	the State Department	victim
501	Paris Agreement	victim
504	The Trump administration	villain
504	Obama-era regulations	hero
504	Obama-era climate regulations	victim
504	plans	hero
506	Antarctica	victim
508	mainstream climate-change groups	victim
508	Moms Clean Air Force	hero
508	Environmental Protection Agency	villain
508	environmental regulation and enforcement	victim
508	the American Lung Association	hero
510	demonstrators	hero
510	Coastal cities	victim
510	Trump administration	villain
510	State Officials	hero
510	the California Coastal Commission	hero
510	offshore oil drilling	villain
512	60 % of the nation's bodies of water	victim
512	sources of drinking water	victim
512	Democrats	hero
512	Donald Trump	villain
512	Alexandria Ocasio-Cortez	hero
512	America	victim
512	Donald Trump's	villain
512	The current administrator of the EPA Andrew Wheeler	villain
515	Trump administration	villain
515	President Trump's	villain
515	Clean Air Act	hero
515	clean air standards	victim
516	Endangered Species Act ESA	hero
516	species	victim
516	threatened plant and animal species	victim
520	Californians	victim
520	children	victim
520	California	victim
520	the Trump administration	villain
520	California lawsuit	hero
522	African biodiversity	victim
522	plants and animal species	victim
522	mankind	villain
522	quality of life	victim
522	pollution climate change and deforestation	villain
522	a UN-backed study	hero
524	water	victim
524	the EPA	villain
524	Trump	villain
524	Trump administration	villain
524	the Clean Water Act	victim
525	The Planet?	victim
525	high-income countries	hero
525	Captialist consumption	villain
525	Sustainable consumption	hero
527	an estimated 573.000 birds and 888.000 bats a year	villain
532	forest management	hero
532	climate change	villain
532	environmental groups	villain
532	environmental terrorist groups	villain
532	California	victim
533	India's southern state of Tamil Nadu	villain
533	coal power plants	villain
533	Tamil Nadu farmers	victim
533	wind power	hero
533	wind power-7.85 gigawatts GW	hero
537	displacement of millions	victim
537	greenhouse gases	villain
537	New green technologies	hero
545	climate change	villain
545	California	villain
545	Trump	villain
545	California's	victim
545	California's environmental policies	villain
545	Climate policy	hero
547	the endangered dusky gopher frog	victim
547	Trump	villain
547	Court	villain
